Latitude,Longitude,pipe_age,diameter,Base,COF,POF,Subway,Tree,Groundwater,Soil,Total
37.5457555,127.1217904,2017,600,1.0,0.465,1.0,0.004591442364344866,0.0,2.43,0.3881850242225252,0.45844083374017314
37.52810842,127.123595,2013,600,1.0,0.465,1.0,0.0037141667418015894,0.0,2.84,0.4228572710181523,0.47980629915111506
37.54595181,127.1231119,1989,600,1.0,0.465,1.0,0.005211766167234967,0.0,2.0,0.39078448669765614,0.43910762160767064
37.5361469,127.1408351,1980,525,1.0,0.465,1.0,0.00642424536394841,0.0,4.2,0.4871971781582693,0.5436917941828892
37.56016912,127.127047,1900,450,1.0,0.39,1.0,1.654392321917622e-05,0.0,3.686666666666667,0.40811957603007415,0.5086627337352508
37.54756426,127.1343861,1980,600,1.0,0.465,1.0,0.002527364012341989,0.0,2.7266666666666666,0.47427431018849664,0.4792720560500148
37.5322389,127.1403443,1980,450,1.0,0.39,1.0,0.006488337769171732,0.0,2.7,0.5151212762660178,0.4752970276537853
37.53279858,127.1474556,1900,450,1.0,0.39,1.0,0.004317562757442462,0.0,2.993333333333333,0.483566312874585,0.4853414486157647
37.54412299,127.1236779,1980,450,1.0,0.39,1.0,0.006755379913149714,0.0,3.0920000000000005,0.39913724566744085,0.4823941617079834
37.54111425,127.1271143,1900,450,1.0,0.39,1.0,0.008348314941521277,0.0,4.033333333333333,0.4364469244671151,0.5263059229048485
37.55149589,127.1400586,1993,488,1.0,0.39,1.0,0.007906931914475362,0.0,2.52,0.49759503212781453,0.4657860691657181
37.54522214,127.127596,1980,525,1.0,0.465,1.0,0.005295672271909015,0.0,2.8933333333333335,0.4320724284514486,0.4830666777960469
37.52542431,127.1323655,1980,562,1.0,0.465,1.0,0.005216713639003261,0.0,2.8533333333333335,0.5216859253403316,0.48917814429666007
37.55467705,127.129249,1980,600,1.0,0.465,1.0,0.004277054555627703,0.0,3.5733333333333337,0.4290262318690131,0.5122709056127512
37.56231635,127.167495,1999,600,1.0,0.465,1.0,0.002913941644721215,0.0,3.9000000000000004,0.459643700124227,0.5286584489939499
37.55136859,127.1286455,2001,600,1.0,0.465,1.0,0.005048228444570899,0.0,4.720000000000001,0.4407280730359154,0.5611728991468509
37.55362142,127.1337303,1992,600,1.0,0.465,1.0,0.004962767620357442,0.0,2.5133333333333336,0.4621256910968689,0.4688509394262449
37.55391,127.1566271,1988,300,1.0,0.39,1.0,0.004375793548963688,0.0,1.2666666666666668,0.5347676526369362,0.4112592361852084
37.5585238,127.1698472,1988,450,1.0,0.39,1.0,0.008268396964835414,0.0,2.138,0.47213178825279073,0.44620853063589405
37.54840189,127.1462529,1900,600,1.0,0.465,1.0,0.007072925106587056,0.0,3.4733333333333336,0.4782549191893743,0.5123644153214986
37.55157992,127.1430113,1971,450,1.0,0.39,1.0,0.008903734208735758,0.0,3.0600000000000005,0.48584714406829405,0.48873594675119164
37.55685369,127.1719706,2011,300,1.0,0.39,1.0,0.00985451049049374,0.0,3.1820000000000004,0.4718429962540627,0.4929009909359607
37.55436366,127.1538145,1900,600,1.0,0.465,1.0,0.005565976586328263,0.0,2.3986666666666667,0.5308228853163666,0.46990213050091495
37.52991867,127.1393307,1900,400,1.0,0.39,1.0,0.005924632657647698,0.0,4.0200000000000005,0.5111272032441382,0.5318940923697807
37.55729976,127.1730469,2011,367,1.0,0.39,1.0,0.010539215044122065,0.0,3.7400000000000007,0.4666680980934328,0.5165540800800282
37.53367027,127.1453852,1987,333,1.0,0.39,1.0,0.004572287977876583,0.0,2.6466666666666665,0.4822046171656572,0.4698770682536627
37.54617938,127.1308575,1980,300,1.0,0.39,1.0,0.002876182076303702,0.0,3.3666666666666667,0.45383802621265656,0.4989628349381971
37.55815643,127.1691603,1997,533,1.0,0.465,1.0,0.007976891068420968,0.0,0.0,0.47531767956609544,0.35122337742478665
37.53405139,127.1428894,1980,767,1.0,0.54,1.0,0.0051206341248902325,0.0,3.3866666666666667,0.49497230074680904,0.5163857523840135
37.53494903,127.144896,1980,1000,1.0,0.723,1.0,0.004448810422676475,0.0,2.2800000000000002,0.4857157326428444,0.48345540998818126
37.52832869,127.1367196,2005,1100,1.0,0.723,1.0,0.007170471616638979,0.0,2.718,0.5125118385095786,0.5050335880990756
37.54210751,127.1392593,2001,1225,1.0,0.723,1.0,0.006868186981981574,0.0,4.066666666666667,0.4993083406840802,0.5604494177829517
37.54353571,127.1449562,1980,1350,1.0,0.723,1.0,0.007000954253209338,0.0,2.6,0.48453039740499354,0.4974966584354298
37.5491786,127.1536952,2006,450,1.0,0.39,1.0,0.0025296267631612834,0.0,3.893333333333334,0.5132398503209334,0.526551807184118
